<ticker>,<date>,<open>,<high>,<low>,<close>,<volume>,<o/i>
NIFTYBEES,20201126,144,144,136.6,138.24,7689852,6247725
NIITLTD,20201126,176.45,181.9,170.25,176.1,676334,294918
NILAINFRA,20201126,4.35,5.05,4.2,4.55,3087569,1940360
NILASPACES,20201126,1.3,1.3,1.15,1.2,271434,203906
NILKAMAL,20201126,1356.7,1376,1343.85,1350.35,12216,9325
NIPPOBATRY,20201126,659.95,668,650.15,653.35,3680,1015
NIRAJ,20201126,49,50.6,49,49.35,7007,0
NITCO,20201126,20.9,20.9,19,19.75,155831,84539
NITINSPIN,20201126,57,58.1,55.8,57.95,46398,0
NKIND,20201126,18.15,18.15,17.3,17.55,541,477
NLCINDIA,20201126,51,51.5,50.8,51,549053,314812
NMDC,20201126,93.5,96.65,92.85,96.35,9386153,3272465
NOCIL,20201126,136.1,141.9,135.15,140.7,1729566,665135
NOIDATOLL,20201126,5.5,5.85,5.5,5.85,82224,0
NORBTEAEXP,20201126,9,9,8.6,8.6,2244,2229
NOVARTIND,20201126,644.05,663.75,640.85,655.7,9718,4889
NPBET,20201126,157,157.2,156.5,156.82,149,148
NRAIL,20201126,185.65,192,183.7,188.25,52817,45243
NRBBEARING,20201126,76.5,90.95,75.5,88.55,4165162,1314703
NSIL,20201126,875,875,836.95,871.4,1197,706
NTL,20201126,0.95,1,0.95,1,32337,28726
NTPC,20201126,93.95,94.8,93.4,94.1,30825401,12968286
NUCLEUS,20201126,555,579.8,555,560.95,38895,19843
NXTDIGITAL,20201126,607.15,609.8,600.05,602.25,14768,1007
OAL,20201126,496.8,510,490,503.65,16984,9160
OBEROIRLTY,20201126,452,452.5,437,447.05,460876,292504
OCCL,20201126,848.1,875.05,848,863.65,3085,1688
OFSS,20201126,3020,3045.05,3008,3014.9,17312,8778
OIL,20201126,97.9,97.95,96.6,97,671983,320263
OILCOUNTUB,20201126,4.9,5,4.7,4.7,2780,0
OISL,20201126,3,3,2.8,2.95,44323,27001
OLECTRA,20201126,64.95,66.4,63.5,65.65,105476,71048
OMAXAUTO,20201126,39.8,43.5,38.3,42.5,139097,63052
OMAXE,20201126,69.8,70,68.25,69.35,31385,17799
OMKARCHEM,20201126,7.2,7.55,6.9,7.05,32305,19198
OMMETALS,20201126,17.9,17.9,17.2,17.7,29025,14028
ONELIFECAP,20201126,5.8,6.2,5.75,5.8,6515,4309
ONEPOINT,20201126,14.1,14.35,13.85,14.35,14777,0
ONGC,20201126,81.15,81.5,79.45,80.2,30469713,8918233
ONMOBILE,20201126,52,56.5,47.75,56.5,1311100,673358
ONWARDTEC,20201126,62.85,64.4,61.25,63.9,19130,14800
OPTIEMUS,20201126,101,104.25,95.3,96.1,179518,0
OPTOCIRCUI,20201126,5.45,5.45,5.45,5.45,211169,0
ORBTEXP,20201126,66,66,63,64.5,10092,6868
ORICONENT,20201126,19.65,20.8,19.5,20.2,117555,71318
ORIENTABRA,20201126,20.05,20.6,18.5,19.75,44842,28812
ORIENTALTL,20201126,7.5,8.1,7.5,7.85,81479,61483
ORIENTBELL,20201126,140.95,140.95,137.1,138.2,11824,6421
ORIENTCEM,20201126,69.45,70.15,68.5,69.75,233533,112387
ORIENTELEC,20201126,231.65,233.7,225.5,227.2,122134,77932
ORIENTHOT,20201126,20.8,22.8,20.8,22.1,72542,28195
ORIENTLTD,20201126,73.45,76.95,70.55,76.2,299,284
ORIENTPPR,20201126,18.55,18.9,18,18.5,372257,168622
ORIENTREF,20201126,214.9,219.7,212.75,216.65,30660,18218
ORISSAMINE,20201126,2310.65,2372.9,2265.25,2340.8,21120,7002
ORTINLABSS,20201126,22.05,22.6,21.05,21.95,37647,23997
OSWALAGRO,20201126,9.6,9.6,9.3,9.35,60101,27454
PAEL,20201126,1.95,2,1.95,2,1050,1050
PAGEIND,20201126,22410,22920,22319.6,22837.85,48734,10993
PAISALO,20201126,385.45,389,377.45,378.25,237254,235566
PALASHSECU,20201126,37.5,37.6,34.85,37.4,8308,6649
PALREDTEC,20201126,40.95,41.15,37.25,38.85,38678,25187
PANACEABIO,20201126,196.6,203.4,194.15,198.25,127829,45833
PANACHE,20201126,41.1,41.95,41.1,41.5,22006,14605
PANAMAPET,20201126,81.7,81.7,76.65,80.5,331432,174680
PARACABLES,20201126,6.45,6.65,6.45,6.55,159972,124102
PARAGMILK,20201126,111,111,109,109.5,192277,109821
PARSVNATH,20201126,3.5,3.5,3.5,3.5,123951,102960
PATELENG,20201126,11.05,11.65,11.05,11.25,214069,127461
PATINTLOG,20201126,25.85,26.4,25.3,25.75,16056,11810
PATSPINLTD,20201126,4.4,4.4,4.05,4.35,19106,10960
PCJEWELLER,20201126,15.5,15.6,15.15,15.3,1406392,760333
PDMJEPAPER,20201126,20.1,22.15,19.55,20.95,282130,187426
PDSMFL,20201126,415.05,419,412,415.15,2670,2463
PEARLPOLY,20201126,16.85,16.85,15.75,16.65,989,933
PEL,20201126,1395,1428.05,1376.05,1423.75,928415,170793
PENIND,20201126,18,18.25,17.25,17.85,99031,68080
PENINLAND,20201126,4.65,4.7,4.6,4.7,144628,95755
PERSISTENT,20201126,1202.4,1225,1180.1,1199.65,176915,149469
PETRONET,20201126,256.75,256.9,250.7,256,4996697,2282042
